,FP,TC,Importe,IVA,RET ISR,RET IVA,Otros
226,1.0,1.0,1079.31,172.69,0.0,0.0,
227,1.0,1.0,270.69,43.31,0.0,0.0,
228,1.0,1.0,417.66,66.83,0.0,0.0,
229,1.0,1.0,135.34,21.66,0.0,0.0,
230,44.0,1.0,0.0,0.0,0.0,0.0,
231,3.0,1.0,2062.89,330.06,0.0,0.0,
232,99.0,1.0,1682.83,269.25,0.0,0.0,
233,44.0,1.0,0.0,0.0,0.0,0.0,
234,99.0,1.0,1521.5,176.8,0.0,0.0,
235,1.0,1.0,478.0,0.0,0.0,0.0,
236,1.0,1.0,323.28,51.72,0.0,0.0,
237,44.0,1.0,0.0,0.0,0.0,0.0,
238,44.0,1.0,0.0,0.0,0.0,0.0,
239,1.0,1.0,321.55,51.45,0.0,0.0,
240,99.0,1.0,1521.5,176.8,0.0,0.0,
241,44.0,1.0,0.0,0.0,0.0,0.0,
242,44.0,1.0,0.0,0.0,0.0,0.0,
243,99.0,1.0,2772.69,443.63,0.0,0.0,
244,44.0,1.0,0.0,0.0,0.0,0.0,
245,3.0,1.0,1717.25,0.0,0.0,0.0,
246,3.0,1.0,5226.53,836.24,0.0,0.0,
247,1.0,1.0,234.62,37.54,0.0,0.0,
248,99.0,1.0,9021.0,176.8,0.0,0.0,
249,99.0,1.0,3000.0,480.0,0.0,0.0,
250,44.0,1.0,0.0,0.0,0.0,0.0,
251,44.0,1.0,0.0,0.0,0.0,0.0,
252,44.0,1.0,0.0,0.0,0.0,0.0,
253,44.0,1.0,0.0,0.0,0.0,0.0,
254,99.0,1.0,1521.5,176.8,0.0,0.0,
255,3.0,1.0,164.24,26.28,0.0,0.0,
256,3.0,1.0,4396.55,703.45,0.0,0.0,
257,99.0,1.0,2505.5499999999997,382.48,0.0,0.0,
258,3.0,1.0,0.0,0.0,0.0,0.0,
259,3.0,1.0,0.0,0.0,0.0,0.0,
260,3.0,1.0,0.0,0.0,0.0,0.0,
261,3.0,1.0,1762.25,0.0,0.0,0.0,
262,1.0,1.0,187.93,30.07,0.0,0.0,
263,3.0,1.0,428.0,68.48,0.0,0.0,
264,3.0,1.0,1452.0,232.32,0.0,0.0,
265,3.0,1.0,2914.0,466.24,0.0,0.0,
266,44.0,1.0,0.0,0.0,0.0,0.0,
267,3.0,1.0,1827.6,292.42,0.0,0.0,
268,99.0,1.0,1521.5,176.8,0.0,0.0,
269,3.0,1.0,335.0,53.6,0.0,0.0,
270,99.0,1.0,343.97,55.03,0.0,0.0,
271,99.0,1.0,2994.0,479.04,0.0,0.0,
272,1.0,1.0,397.2,63.55,0.0,0.0,
273,1.0,1.0,241.0,38.56,0.0,0.0,
274,44.0,1.0,0.0,0.0,0.0,0.0,
275,99.0,1.0,5884.0,941.44,0.0,0.0,
276,3.0,1.0,377.0,60.32,0.0,0.0,
277,1.0,1.0,83.62,13.38,0.0,0.0,
